[03/05/2023 21:08:57] [debug]	 -Not support this chain  
[03/05/2023 21:55:50] [error]	 - Validation error {"message":"Validation error","code":"E0","errors":["walletAddress must be an Ethereum address"]} 

[03/05/2023 21:55:54] [error]	 -Current wallet isn't user  

[03/05/2023 21:55:54] [debug]	 -NOT_USER  

[03/05/2023 21:55:54] [error]	 - 400 

[03/05/2023 21:57:51] [error]	 -Current wallet isn't user  

[03/05/2023 21:57:51] [debug]	 -NOT_USER  

[03/05/2023 21:57:51] [error]	 - 400 

[03/05/2023 21:57:54] [error]	 -Current wallet isn't user  

[03/05/2023 21:57:54] [debug]	 -NOT_USER  

[03/05/2023 21:57:54] [error]	 - 400 

[03/05/2023 21:59:53] [error]	 -Current wallet isn't user  

[03/05/2023 21:59:53] [debug]	 -NOT_USER  

[03/05/2023 21:59:53] [error]	 - 400 

[03/05/2023 22:01:36] [error]	 -Current wallet isn't user  

[03/05/2023 22:01:36] [debug]	 -NOT_USER  

[03/05/2023 22:01:36] [error]	 - 400 

[03/05/2023 22:01:37] [error]	 -Current wallet isn't user  

[03/05/2023 22:01:37] [debug]	 -NOT_USER  

[03/05/2023 22:01:37] [error]	 - 400 

[03/05/2023 22:02:17] [error]	 -Current wallet isn't user  

[03/05/2023 22:02:17] [debug]	 -NOT_USER  

[03/05/2023 22:02:17] [error]	 - 400 

[03/05/2023 22:02:21] [error]	 -Current wallet isn't user  

[03/05/2023 22:02:21] [debug]	 -NOT_USER  

[03/05/2023 22:02:21] [error]	 - 400 

[03/05/2023 22:02:30] [error]	 -Current wallet isn't user  

[03/05/2023 22:02:30] [debug]	 -NOT_USER  

[03/05/2023 22:02:30] [error]	 - 400 

[03/05/2023 22:06:14] [error]	 -Current wallet isn't user  

[03/05/2023 22:06:14] [debug]	 -NOT_USER  

[03/05/2023 22:06:14] [error]	 - 400 

[03/05/2023 22:06:22] [error]	 -Current wallet isn't user  

[03/05/2023 22:06:22] [debug]	 -NOT_USER  

[03/05/2023 22:06:22] [error]	 - 400 

[03/05/2023 22:07:08] [error]	 -Current wallet isn't user  

[03/05/2023 22:07:08] [debug]	 -NOT_USER  

[03/05/2023 22:07:08] [error]	 - 400 

[03/05/2023 22:07:36] [error]	 -Current wallet isn't user  

[03/05/2023 22:07:36] [debug]	 -NOT_USER  

[03/05/2023 22:07:36] [error]	 - 400 

[03/05/2023 22:08:06] [error]	 -Current wallet isn't user  

[03/05/2023 22:08:06] [debug]	 -NOT_USER  

[03/05/2023 22:08:06] [error]	 - 400 

[03/05/2023 22:08:37] [error]	 -Current wallet isn't user  

[03/05/2023 22:08:37] [debug]	 -NOT_USER  

[03/05/2023 22:08:58] [error]	 -Current wallet isn't user  

[03/05/2023 22:08:58] [debug]	 -NOT_USER  

[03/05/2023 22:09:12] [error]	 -Current wallet isn't user  

[03/05/2023 22:09:12] [debug]	 -NOT_USER  

[03/05/2023 22:09:24] [error]	 -Current wallet isn't user  

[03/05/2023 22:09:24] [debug]	 -NOT_USER  

[03/05/2023 22:09:29] [error]	 -Current wallet isn't user  

[03/05/2023 22:09:29] [debug]	 -NOT_USER  

[03/05/2023 22:11:37] [error]	 -Current wallet isn't user  

[03/05/2023 22:11:37] [debug]	 -NOT_USER  

[03/05/2023 22:11:53] [debug]	 -command find requires authentication  

[03/05/2023 22:12:44] [debug]	 -command find requires authentication  

[03/05/2023 22:14:25] [debug]	 -"expiresIn" should be a number of seconds or string representing a timespan  

